Ticker,month,first_price,last_price,monthly_return
HINDUNILVR,2023-10,7.81193294297249,7.818027938530729,0.0007802160621107766
INDUSINDBK,2023-10,7.269895262351928,7.273994340589464,0.0005638428188593197
KOTAKBANK,2023-10,7.460281604694214,7.461870250846525,0.0002129472098360892
ADANIENT,2023-10,7.96413833161888,7.96413833161888,0.0
ADANIPORTS,2023-10,7.051552366630921,7.051552366630921,0.0
HDFCLIFE,2023-11,6.431411593990203,6.539224618667035,0.016763508772720686
ASIANPAINT,2023-11,7.984650108232628,8.045876700744959,0.007668037006305663
BAJAJFINSV,2023-11,7.368568355501921,7.423269892234259,0.007423631578513349
TITAN,2023-11,8.10453729142249,8.158115362861194,0.006610873577620351
HDFCBANK,2023-11,7.304532748092307,7.352312886896398,0.006541162926070652
HINDALCO,2023-12,6.275889718983606,6.423003427387493,0.02344109201901529
TATACONSUM,2023-12,6.903631775419635,6.979573488772607,0.01100025549209648
JSWSTEEL,2023-12,6.7086943479170085,6.781341354126479,0.010828784625137445
HCLTECH,2023-12,7.218359523289331,7.291042942145598,0.010069243381652115
ULTRACEMCO,2023-12,9.176714969856965,9.259511415982631,0.009022449362068048
ONGC,2024-01,5.4348460806824725,5.5343771431287925,0.018313501609565633
TATAMOTORS,2024-01,6.674387747313425,6.785813608176895,0.01669454414126915
POWERGRID,2024-01,5.482408044570833,5.561834812000519,0.014487569473845005
RELIANCE,2024-01,7.16713818052362,7.263771005684926,0.013482762956057052
BPCL,2024-01,5.468197140847181,5.53014311824508,0.011328409675497177
BPCL,2024-02,5.542165099420538,5.713501755717111,0.030915112275252666
TRENT,2024-02,8.040382446237524,8.26431182183807,0.027850587593048315
SBIN,2024-02,6.474893280017022,6.618872485953837,0.022236537300339337
BEL,2024-02,5.218055857421709,5.328361487896413,0.021139219948712266
M&M,2024-02,7.413178823417978,7.567035390030505,0.02075446583407649
BAJAJ-AUTO,2024-03,8.992314950660889,9.121416257779586,0.014356848912326938
BHARTIARTL,2024-03,7.0297073897328834,7.114444192224386,0.012054100945263213
HDFCLIFE,2024-03,6.390177713281668,6.452600852586607,0.009768607714179159
HINDALCO,2024-03,6.275889718983606,6.330166439056464,0.008648450260156615
BAJFINANCE,2024-03,8.816486343441374,8.888239372653942,0.008138506250389088
HINDALCO,2024-04,6.344934360097766,6.4698702796178615,0.01969065595158818
BEL,2024-04,5.357057861570636,5.458521118088372,0.018940108384042687
EICHERMOT,2024-04,8.28087574414124,8.433463695884706,0.018426547681436166
M&M,2024-04,7.5584906602850435,7.676635895627521,0.015630797291746837
TRENT,2024-04,8.265598723928013,8.39183402925172,0.015272372823794305
BEL,2024-05,5.462771921513567,5.674782671768465,0.03881010470526047
M&M,2024-05,7.689897284863588,7.826941813968317,0.01782137316378477
HEROMOTOCO,2024-05,8.425625997890746,8.541026898667635,0.013696418616940513
COALINDIA,2024-05,6.120077614575958,6.193971575710002,0.012074023531671066
ADANIPORTS,2024-05,7.200275628074167,7.271286663717356,0.00986226629523923
WIPRO,2024-06,6.117381041657689,6.245816025546385,0.0209950930004342
TRENT,2024-06,8.44745718673134,8.60901547740288,0.01912507954764231
TECHM,2024-06,7.130298647821304,7.266373333857458,0.019084009346190874
SHRIRAMFIN,2024-06,7.82809779129639,7.976767097873956,0.018991753877022687
GRASIM,2024-06,7.77056084238264,7.887649428594231,0.015068228482680404
HDFCLIFE,2024-07,6.399842076663181,6.548129533633724,0.023170486895492073
ITC,2024-07,6.066108009329833,6.178514293364526,0.01853021473765547
INFY,2024-07,7.372620730371749,7.503776060426009,0.017789512691730017
SUNPHARMA,2024-07,7.327189036317697,7.450283037478641,0.016799621321467305
HCLTECH,2024-07,7.292915633749937,7.404644237009254,0.015320155733361722
TRENT,2024-08,8.660739269258785,8.745482154187332,0.009784717250332295
BAJFINANCE,2024-08,8.82064772210822,8.881996014472133,0.0069550779372073625
BAJAJFINSV,2024-08,7.399887260300874,7.434249969248585,0.0046436800641627375
TITAN,2024-08,8.151722535509618,8.179241861475608,0.003375890904788951
HCLTECH,2024-08,7.403396196422925,7.419770173714105,0.002211684591335465
TATASTEEL,2024-09,5.0361730778840945,5.102454504517917,0.013161070044413586
ADANIENT,2024-09,8.02064844214249,8.050974390662358,0.003780984634674705
KOTAKBANK,2024-09,7.485070644016961,7.506591688400171,0.002875195894164647
HDFCBANK,2024-09,7.395076833560133,7.4140757123206145,0.002569125269160279
TITAN,2024-09,8.185503500171414,8.204299281943078,0.0022962279316439964
SBIN,2024-10,6.682045938845196,6.7104012770985735,0.004243511420437508
BEL,2024-10,5.652313726281008,5.655642099328266,0.0005888514347287801
APOLLOHOSP,2024-10,8.812882490890086,8.812882490890086,0.0
BAJAJ-AUTO,2024-10,9.182059151797816,9.182059151797816,0.0
BAJAJFINSV,2024-10,7.434249969248585,7.434249969248585,0.0
TCS,2024-11,8.290342778170702,8.331035281303969,0.004908422271804487
POWERGRID,2024-11,5.777807110004175,5.80558667411125,0.004807977071262149
INFY,2024-11,7.474119672338831,7.503776060426009,0.0039678770727922166
KOTAKBANK,2024-11,7.464739034729211,7.474460165489695,0.001302273356812229
ULTRACEMCO,2024-11,9.318907740181475,9.330165757490981,0.0012080833530483314
