Ticker,Daily_Volatility_%,Annual_Volatility_%,Daily_Movement_₹
ADANIENT,0.17575651709939336,2.790048213263197,0.014086725402926666
ADANIPORTS,0.24115046182647212,3.8281449032473205,0.017300976217015793
APOLLOHOSP,0.11688924746215404,1.8555592783340846,0.01021436605076904
ASIANPAINT,0.09936649140166326,1.5773941494110335,0.007959350738359907
AXISBANK,0.14287689533006345,2.268100398842122,0.010034852980709007
BAJAJ-AUTO,0.11993200893377438,1.9038616192508628,0.010858195753924424
BAJAJFINSV,0.11901587693399102,1.8893184746136522,0.008803895824872352
BAJFINANCE,0.12555726751825394,1.9931598309006475,0.011125991572103464
BEL,0.2957510675116116,4.694902647705592,0.016130781652428313
BHARTIARTL,0.14908418076532023,2.366638000313019,0.010661887266068973
BPCL,0.29597059227262784,4.698387495251211,0.01675971100061085
BRITANNIA,0.12161374913278748,1.9305584172693162,0.010413196878713948
CIPLA,0.169496748419763,2.690677466116638,0.012319812824359214
COALINDIA,0.25916153269438735,4.114061789422104,0.01578308666730726
DRREDDY,0.13430073848608423,2.131958129559001,0.009558338294983586
EICHERMOT,0.13882575383855425,2.2037905213673104,0.01162533609670625
GRASIM,0.1438703301440779,2.283870687611938,0.011166510810862984
HCLTECH,0.15122697782601377,2.4006538491090703,0.01108216000982026
HDFCBANK,0.13330226261628084,2.1161078165094085,0.009813157745066131
HDFCLIFE,0.14234763260185865,2.259698613499849,0.009201513378193455
HEROMOTOCO,0.13779880597869676,2.1874882294876326,0.01168056315637592
HINDALCO,0.22399731207299084,3.555847092552359,0.014361954255681772
HINDUNILVR,0.10336178555661636,1.640817477902369,0.008093751162888381
ICICIBANK,0.13333981051373667,2.116703870902937,0.009350996536769744
INDUSINDBK,0.15133756616773475,2.4024093846096504,0.011029313446707137
INFY,0.14663366525159402,2.327737272513667,0.010832662508955159
ITC,0.12800425023301723,2.0320044772550716,0.007828418598014704
JSWSTEEL,0.18750160519675935,2.976495706656248,0.012700737178645755
KOTAKBANK,0.11005401073440355,1.7470532591307886,0.008233895715415298
LT,0.14191230245954362,2.2527879617311934,0.011591281521322373
M&M,0.1792089543206857,2.8448539550908114,0.013775835688222274
MARUTI,0.09435145035932946,1.4977828409342495,0.008831864763419262
NESTLEIND,0.10480227149865073,1.6636844833206141,0.008199086906359697
NTPC,0.2767931845756248,4.393955585908215,0.016234667117791902
ONGC,0.320740289481926,5.091594248448253,0.017855968570155548
POWERGRID,0.2649313746194711,4.20565519044966,0.015012452425169024
RELIANCE,0.13905788861309942,2.2074755466718896,0.010074290107692844
SBILIFE,0.11723621119051651,1.861067156769326,0.008577287402288934
SBIN,0.17438213798894742,2.7682306212630237,0.011532897817327411
SHRIRAMFIN,0.20535181389888002,3.2598589851147217,0.016103723485077936
SUNPHARMA,0.12608467973954657,2.0015322403563864,0.00924291024009586
TATACONSUM,0.16368250652907673,2.598379237485859,0.011441851119541489
TATAMOTORS,0.1653805965428086,2.62533558076668,0.011259335310850431
TATASTEEL,0.2669771169599012,4.238130343325419,0.013380855346960171
TCS,0.11275541554952473,1.7899367311187269,0.009341991753443543
TECHM,0.15941501636307528,2.530634931275938,0.011508690939170787
TITAN,0.1188730071818384,1.8870504876092364,0.00969568526831587
TRENT,0.20959211622641802,3.327171697769085,0.01758322449395327
ULTRACEMCO,0.11793354270247279,1.8721369513413557,0.010903254114514578
WIPRO,0.18971377316806554,3.0116127845185185,0.011752473929293258
