Ticker,close,date,high,low,month,open,volume,daily_return
ADANIENT,7.96413833161888,2023-10-03 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.518558563201482,
ADANIENT,7.96413833161888,2023-10-04 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.65651756457349,0.0
ADANIENT,7.96413833161888,2023-10-05 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,13.939899283487433,0.0
ADANIENT,7.96413833161888,2023-10-06 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.227644049566516,0.0
ADANIENT,7.96413833161888,2023-10-09 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.157840604069646,0.0
ADANIENT,7.96413833161888,2023-10-10 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.387569183152175,0.0
ADANIENT,7.96413833161888,2023-10-11 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.302762697681873,0.0
ADANIENT,7.96413833161888,2023-10-12 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.405970867712734,0.0
ADANIENT,7.96413833161888,2023-10-13 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.639108202458283,0.0
ADANIENT,7.96413833161888,2023-10-16 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,13.830688389973389,0.0
ADANIENT,7.96413833161888,2023-10-17 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,13.830688389973389,0.0
ADANIENT,7.96413833161888,2023-10-18 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,13.830688389973389,0.0
ADANIENT,7.96413833161888,2023-10-19 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,13.971507817527543,0.0
ADANIENT,7.96413833161888,2023-10-20 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.030904962042147,0.0
ADANIENT,7.96413833161888,2023-10-23 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.209948422223237,0.0
ADANIENT,7.96413833161888,2023-10-25 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.247825300211744,0.0
ADANIENT,7.96413833161888,2023-10-26 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.615750053751148,0.0
ADANIENT,7.96413833161888,2023-10-27 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,14.03407885876383,0.0
ADANIENT,7.96413833161888,2023-10-30 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,13.830688389973389,0.0
ADANIENT,7.96413833161888,2023-10-31 05:30:00,7.982612592111456,7.944669406030025,2023-10,7.970636477825686,13.959854162391098,0.0
ADANIENT,7.96413833161888,2023-11-01 05:30:00,7.982612592111456,7.944669406030025,2023-11,7.970636477825686,14.326284180378218,0.0
