Ticker,month,first_price,last_price,monthly_return
ASIANPAINT,2023-10,8.05538387101199,8.005266962206214,-0.006221541966004448
HDFCLIFE,2023-10,6.452916086256173,6.428670541000209,-0.0037573005648722526
ITC,2023-10,6.08847782127798,6.066108009329833,-0.003674122269111229
HDFCBANK,2023-10,7.3192355927450885,7.304532748092307,-0.002008795107969321
ADANIENT,2023-10,7.96413833161888,7.96413833161888,0.0
BAJFINANCE,2023-11,8.901992900077925,8.871070224851307,-0.0034736800594782975
ADANIENT,2023-11,7.96413833161888,7.96413833161888,0.0
ADANIPORTS,2023-11,7.051552366630921,7.051552366630921,0.0
APOLLOHOSP,2023-11,8.666651366311513,8.666651366311513,0.0
BAJAJ-AUTO,2023-11,8.867386926582633,8.867386926582633,0.0
HDFCLIFE,2023-12,6.526714454784496,6.4734276261888715,-0.008164418554662264
AXISBANK,2023-12,7.008188676303408,7.006060967766261,-0.00030360320411197054
BAJAJFINSV,2023-12,7.430677443695361,7.430588521872405,-1.1966852770746874e-05
ADANIENT,2023-12,7.96413833161888,7.96413833161888,0.0
ADANIPORTS,2023-12,7.051552366630921,7.051552366630921,0.0
HDFCBANK,2024-01,7.4140757123206145,7.304532748092307,-0.014774999403670799
HDFCLIFE,2024-01,6.476510717886486,6.390177713281668,-0.013330172428555965
JSWSTEEL,2024-01,6.778329731541679,6.708877419872465,-0.010246227967640882
ITC,2024-01,6.15070937257196,6.092553452414886,-0.00945515657371338
HINDALCO,2024-01,6.4157514094567345,6.363631369814632,-0.008123762333633777
HINDALCO,2024-02,6.349575958832676,6.275889718983606,-0.011604907213775035
KOTAKBANK,2024-02,7.506591688400171,7.460281604694214,-0.00616925571927926
ITC,2024-02,6.095599311839989,6.066108009329833,-0.004838130100328811
BRITANNIA,2024-02,8.546674320738406,8.510410239119405,-0.00424306347218662
HEROMOTOCO,2024-02,8.43113408814276,8.395590369656988,-0.004215769564827601
INFY,2024-03,7.4119791591135655,7.312586853116693,-0.013409685033269713
WIPRO,2024-03,6.254021100779027,6.176075148705408,-0.012463333720429804
TATACONSUM,2024-03,7.052157992521558,6.988173300831881,-0.00907306554355831
HCLTECH,2024-03,7.405556451625374,7.342487884770869,-0.008516384591283847
POWERGRID,2024-03,5.665388086668889,5.627261336748458,-0.006729768435483888
HCLTECH,2024-04,7.35096565333256,7.220812657765146,-0.01770556437145224
SUNPHARMA,2024-04,7.396488656273312,7.31528492113918,-0.010978687172765279
HDFCLIFE,2024-04,6.454805404302229,6.390177713281668,-0.010012337626396306
APOLLOHOSP,2024-04,8.773113662244384,8.690827119812626,-0.00937940001688147
CIPLA,2024-04,7.312987026530511,7.244941546337007,-0.009304745098910275
ONGC,2024-05,5.648269764725942,5.581049709273904,-0.01190099946568326
SHRIRAMFIN,2024-05,7.8567455070193075,7.76431723764764,-0.011764192856837562
DRREDDY,2024-05,7.1376758145753705,7.055632033118036,-0.011494467329238731
TATAMOTORS,2024-05,6.902202384268123,6.828712071641684,-0.010647371452616653
TITAN,2024-05,8.180166801280324,8.10453729142249,-0.009245472824098924
BPCL,2024-06,5.779623952671777,5.720147828742466,-0.010290656350023776
ONGC,2024-06,5.652839995918626,5.617498106059188,-0.0062520591216016245
NTPC,2024-06,5.973300576480311,5.938459261784084,-0.005832841366365046
COALINDIA,2024-06,6.193971575710002,6.161523727329737,-0.005238617578987778
INDUSINDBK,2024-06,7.318531254359031,7.289951760150947,-0.0039050860363630383
BAJFINANCE,2024-07,8.892577027485947,8.825846325925419,-0.007504090361463441
NESTLEIND,2024-07,7.844441593487328,7.8068388125185715,-0.00479355738972877
HDFCBANK,2024-07,7.4140757123206145,7.388173240326702,-0.0034936886267385053
INDUSINDBK,2024-07,7.2847523231107765,7.264590210122234,-0.0027677142741803404
HINDALCO,2024-07,6.524809619731899,6.508172834032128,-0.0025497733526905135
TATASTEEL,2024-08,5.1002322145746035,5.035392945221982,-0.012713003374107988
ADANIENT,2024-08,8.058093794087696,8.013127997693456,-0.005580202656269967
MARUTI,2024-08,9.434322570734487,9.42577428022034,-0.0009060841888811605
KOTAKBANK,2024-08,7.492007928824971,7.4853793682865435,-0.0008847508707144303
SBIN,2024-08,6.7104012770985735,6.7051493788854755,-0.0007826503954423452
SBIN,2024-09,6.7104012770985735,6.670639570101044,-0.005925384392916874
BEL,2024-09,5.674782671768465,5.656341400056065,-0.003249687746483043
TATAMOTORS,2024-09,6.902202384268123,6.883103915541008,-0.0027670108269565777
INDUSINDBK,2024-09,7.279353317578724,7.278352851761226,-0.00013743883197451048
RELIANCE,2024-09,7.298927037602898,7.298160893330512,-0.00010496669831587385
TATAMOTORS,2024-10,6.873370852120306,6.727491603297627,-0.021223829175124262
TATACONSUM,2024-10,7.052157992521558,6.911298992605502,-0.019973886016936802
TATASTEEL,2024-10,5.102454504517917,5.007697650108913,-0.018570837687058802
RELIANCE,2024-10,7.290176913921688,7.195224828852594,-0.013024661292892476
MARUTI,2024-10,9.434322570734487,9.312666789409656,-0.012895020327395897
ADANIPORTS,2024-11,7.240936391505136,7.051552366630921,-0.026154631754036005
ONGC,2024-11,5.60855562471318,5.507767590730244,-0.017970408199007637
BRITANNIA,2024-11,8.647177048972594,8.491864965317099,-0.017961015806187128
BPCL,2024-11,5.749392985908253,5.65895943104788,-0.015729235257013245
COALINDIA,2024-11,6.120627034951298,6.028398994901044,-0.015068397326547309
