Ticker,Risk,Return
ADANIENT,0.0017575651709939336,1.5388039327166145e-06
ADANIPORTS,0.002411504618264721,2.908865394032184e-06
APOLLOHOSP,0.0011688924746215404,5.980670274433573e-05
ASIANPAINT,0.0009936649140166326,-3.7218229933098896e-05
AXISBANK,0.0014287689533006346,3.719870763481918e-05
BAJAJ-AUTO,0.0011993200893377438,0.00011437077046270392
BAJAJFINSV,0.0011901587693399101,5.663644209639186e-06
BAJFINANCE,0.0012555726751825394,-3.3318245490761097e-05
BEL,0.0029575106751161162,0.00028003466300883655
BHARTIARTL,0.0014908418076532025,0.00015455601926781353
BPCL,0.002959705922726278,0.00012554166256784934
BRITANNIA,0.0012161374913278748,7.379066700823247e-07
CIPLA,0.00169496748419763,6.236514838407459e-05
COALINDIA,0.0025916153269438733,4.768330992652356e-05
DRREDDY,0.0013430073848608424,2.5099657786951096e-05
EICHERMOT,0.0013882575383855425,9.303845156062923e-05
GRASIM,0.0014387033014407792,0.00010179645876772472
HCLTECH,0.0015122697782601377,9.838881629916205e-05
HDFCBANK,0.0013330226261628083,4.6380452725295776e-05
HDFCLIFE,0.0014234763260185864,4.596270707955402e-05
HEROMOTOCO,0.0013779880597869676,4.690707658949666e-05
HINDALCO,0.0022399731207299084,0.00011654655360686065
HINDUNILVR,0.0010336178555661636,-3.822167700272405e-06
ICICIBANK,0.0013333981051373667,9.733393297895028e-05
INDUSINDBK,0.0015133756616773474,-5.654591367992865e-06
INFY,0.00146633665251594,0.00010309170371374393
ITC,0.0012800425023301724,4.476924955659826e-05
JSWSTEEL,0.0018750160519675934,7.02540177281188e-05
KOTAKBANK,0.0011005401073440355,7.312957408844581e-06
LT,0.0014191230245954361,2.6527608427357753e-05
M&M,0.001792089543206857,0.00024293043579070824
MARUTI,0.0009435145035932946,1.6846206948523183e-05
NESTLEIND,0.0010480227149865073,5.471268419883613e-07
NTPC,0.002767931845756248,9.784695616516842e-05
ONGC,0.00320740289481926,5.225751375887839e-05
POWERGRID,0.002649313746194711,0.00020591524748099464
RELIANCE,0.0013905788861309943,9.63164277288942e-07
SBILIFE,0.0011723621119051652,1.996672414667945e-05
SBIN,0.001743821379889474,0.0001314283716132482
SHRIRAMFIN,0.0020535181389888003,0.00010625488260541413
SUNPHARMA,0.0012608467973954658,0.00013112313572435203
TATACONSUM,0.0016368250652907673,1.3352286893539005e-06
TATAMOTORS,0.001653805965428086,1.4545372758581448e-06
TATASTEEL,0.0026697711695990115,4.2347302147184286e-05
TCS,0.0011275541554952473,3.8063677382601757e-05
TECHM,0.001594150163630753,0.00010372180788787231
TITAN,0.001188730071818384,7.37467280574037e-07
TRENT,0.00209592116226418,0.0002998184993253296
ULTRACEMCO,0.001179335427024728,5.929324874578321e-05
WIPRO,0.0018971377316806554,8.98667116880635e-05
