Ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.6520259681852214,0.3736477792323044,-0.4075329625168037,0.2536892970689197,0.5022912292506546,-0.2317576169854083,-0.34129454658306413,0.37396774515179304,0.3399063746894222,0.6284179312328528,0.23120883332508146,0.5730435710448807,0.6546989460521746,0.43671723010344465,0.24997526240533666,0.31899303925198863,0.36303489326099164,-0.056412172111443885,-0.27428438232215746,0.5043770889062527,0.32480311819045293,-0.1479109200036574,0.2914720242630611,0.12927410700105457,0.1876320321415839,-0.1791715255064412,0.25067336797148376,0.09990944446971602,0.5015042880620968,0.3520961124668264,0.5869978429347055,0.516876345628003,0.3946080756224177,0.665842683554168,0.49552934323391196,0.8147589414594129,0.2228591915122941,0.52919593206044,0.3010451882108487,0.4069162603004577,0.7302342741062271,0.7389794668902635,0.6174549198554489,0.3539301152755678,0.16529568768083464,0.3487826835151986,0.3326260836183922,0.2632761150596293,0.3726865029119107
ADANIPORTS,0.6520259681852214,1.0,0.705341229338962,-0.3136498090861075,0.7394666424556899,0.9315552423938043,0.04709194676154974,-0.3295096208307614,0.8974862176605473,0.8796906520451506,0.9198096319553966,0.7286964743054374,0.9111221577708807,0.9585878223338717,0.8038788001152161,0.8157508243356419,0.885153268912843,0.5213260018481041,0.36983459856224715,0.21528737942090415,0.8911273835737772,0.795789977799861,0.2485493231119303,0.86194599787567,-0.3980716231944547,0.5517263170576747,0.30259325377509566,0.7906355803812408,0.10848533073485868,0.6690916253301733,0.8876726205724587,0.8857626140387925,0.3871590349354422,0.9135665638454971,0.9291828607336261,0.9420536088603725,0.7920928828298599,0.7154518522375081,0.915735842819481,0.8257192377328877,0.8350721115733877,0.6361095358760265,0.8499729054321092,0.8489281618675182,0.6531185663705347,0.698463340282176,0.006259709012146756,0.8732682617524898,0.7522312939864875,0.6712923800777447
APOLLOHOSP,0.3736477792323044,0.705341229338962,1.0,-0.08821755583805088,0.4893664152682966,0.7658123816796606,0.30436163477550177,-0.31435049042395746,0.6608347113909022,0.7309886429590698,0.7504360743949616,0.6422115714217059,0.8110332292061458,0.6759076036709909,0.8670820666294737,0.5809870837454705,0.7436827688665276,0.8769604185741368,0.41104219069246417,0.5102017605402757,0.6480488352308198,0.5511519208892406,0.3191576529185774,0.7534974238964031,-0.4517643300957874,0.8608406051715503,0.5593085505849346,0.6396916389460886,0.18808790916231355,0.47500958146009475,0.6870291869869607,0.5088835973196183,0.2044866995543788,0.7817652452161425,0.7211741666609454,0.737188075892799,0.490760995804923,0.8546878110818547,0.6559374666038386,0.8400196513065529,0.9023477145387231,0.49137723952860113,0.5104724124121129,0.4045480214405315,0.8379137871732766,0.825433599954149,0.15476180364810926,0.8033976012903096,0.7390259970030472,0.8638831777439039
ASIANPAINT,-0.4075329625168037,-0.3136498090861075,-0.08821755583805088,1.0,-0.0021769710823240445,-0.3868445191959016,0.4827306924054355,0.5614784117412357,-0.23297437665163276,-0.2376511303244212,-0.4432520486261928,0.17626896938646094,-0.32507380818151277,-0.31833187683311137,-0.09085835834669062,-0.18164427966600244,-0.15036720345915108,-0.03149807990972222,0.3828576148303594,0.5293611575830165,-0.14416637456740689,-0.16779280402511318,0.6712215442075533,-0.2046125334819611,0.0033510954434284976,0.14130693737240738,0.5185370093248508,-0.08683276595708463,0.4742876412319746,-0.2336704280134384,-0.2349555768988144,-0.38225877284131643,-0.026124115880228123,-0.19060542907937053,-0.39367485094677895,-0.3329661773027918,-0.39956759734125935,0.10911890438890152,-0.4905340173559037,-0.0579230058986284,-0.24376081299075247,-0.14735530289330986,-0.426867762642015,-0.5067335098129139,-0.05898595776745774,0.08761070003481371,0.20010849436755487,-0.18590591536429094,0.09088445367860461,-0.11152644463616235
AXISBANK,0.2536892970689197,0.7394666424556899,0.4893664152682966,-0.0021769710823240445,1.0,0.740516875999936,0.2553765096027385,-0.11600112002111447,0.8676450459257999,0.8372554546028799,0.6148569698753135,0.827092648915,0.6889233068125764,0.707213914154821,0.589192676849764,0.8870725199414168,0.849590150064193,0.3340641975030374,0.7159038112780582,0.41312349928811454,0.8196969083827738,0.868742129574915,0.5122515726873856,0.830957069385345,-0.43169736335486,0.5433689416063702,0.5715515258850704,0.874051064247948,0.24349256173458558,0.509821860001796,0.8708667940246979,0.6075656379614298,0.2414154296008321,0.8085420311869546,0.5963274458534157,0.8090387468829755,0.3716843192741173,0.6236015396597051,0.7292166947267931,0.783349463814559,0.610946213828802,0.30426513797753235,0.4461083663792914,0.6036880746930169,0.45456878361529435,0.765675430149529,-0.13933347315738814,0.8179466959497721,0.8224956288456704,0.5384260077884682
BAJAJ-AUTO,0.5022912292506546,0.9315552423938043,0.7658123816796606,-0.3868445191959016,0.740516875999936,1.0,0.08619787673349458,-0.38345463292546095,0.92468039829174,0.9467434916754779,0.9202108166773583,0.6992181507464751,0.9247038349991504,0.9021690213648206,0.7913015247547175,0.8707954426784781,0.9208997551463628,0.5615332511474486,0.4039152293163899,0.29137199442355344,0.8589083475437155,0.8304401034374186,0.20155626186785128,0.9268241140674952,-0.48122710196083124,0.5842575236569711,0.34247015182149365,0.8420232177996242,0.035021330844281,0.6312403611200722,0.9390056662266714,0.8687198672819503,0.28744333533600797,0.9338617443856189,0.8868154029861133,0.9616473834161466,0.6702343661975102,0.7238307306141495,0.9549590261884798,0.8671932346317736,0.9108750279874641,0.5099927307381329,0.7704095650027342,0.8285776425480085,0.6693035098854433,0.7469286923848006,-0.08171472016160243,0.947151462188212,0.7541710375143533,0.7006442768546667
BAJAJFINSV,-0.2317576169854083,0.04709194676154974,0.30436163477550177,0.4827306924054355,0.2553765096027385,0.08619787673349458,1.0,0.4176153781540727,0.12257345654902708,0.15296632570227792,-0.007662313289945998,0.3336984213017404,0.06740846249541897,-0.02571532964154538,0.21531385676171824,0.17343474472116036,0.21925973376659116,0.3079172572103823,0.592310823236534,0.6743610502047375,0.03664416480416548,0.21776024025087076,0.4833188937533167,0.23490247533208863,-0.06538118401012151,0.34197147340737516,0.6088272998012397,0.32852593292941057,0.5185512531944848,0.11396579757792835,0.1382162382903762,-0.029358075024698692,0.050617645927670464,0.227735864679475,-0.019861103434970787,0.050037904867410804,-0.24697261775677842,0.41054540973438686,-0.04137148770847312,0.2990796833520857,0.2232941068024724,-0.11671447490085468,-0.1837679956450631,-0.07926571390820314,0.19240642581950532,0.32435380503755745,0.3086755457114096,0.20222836207094247,0.2916613394119264,0.21660977606605347
BAJFINANCE,-0.34129454658306413,-0.3295096208307614,-0.31435049042395746,0.5614784117412357,-0.11600112002111447,-0.38345463292546095,0.4176153781540727,1.0,-0.24813711727796095,-0.2870069509290447,-0.5412053217231183,-0.06668432688278388,-0.4263530506697061,-0.3999814662823629,-0.34435654263863047,-0.2124526516873057,-0.2316200593294687,-0.3319840956543375,0.2395751153172381,0.1294463770061114,-0.24884647265720472,-0.14869867909021056,0.3159359686749965,-0.2663359138110872,0.2782111981489202,-0.2799807906211302,0.09145810731016153,-0.08141492503592344,0.3934907931241933,-0.10737849786283282,-0.27098775396128355,-0.2881339625929071,0.05383444097379278,-0.3044713688807688,-0.4622177978303082,-0.41035039874680224,-0.3945963490661888,-0.20943502264473518,-0.4901798690399841,-0.17496675201928386,-0.43204097635738437,-0.29960542586525335,-0.40496538372486673,-0.282660999460125,-0.41761437198005463,-0.1693954986666566,0.12984349382113058,-0.30900353137995895,-0.07086801912203818,-0.3156625769365436
BEL,0.37396774515179304,0.8974862176605473,0.6608347113909022,-0.23297437665163276,0.8676450459257999,0.92468039829174,0.12257345654902708,-0.24813711727796095,1.0,0.9742128297563388,0.7978972030692933,0.802181422524232,0.8473543784492434,0.8519858013373874,0.7005072005606742,0.9582125800716231,0.9573522209453251,0.4221422168376636,0.559192288560225,0.37234818004210846,0.887339778278679,0.9153963642397853,0.37365874948400424,0.9401971231938432,-0.569956530127423,0.5738022327460623,0.4720472449124192,0.9289667463165534,0.10607695254730988,0.6230696999056216,0.9877451267303049,0.7893519786423464,0.17648078520550148,0.947023168438162,0.777785984957073,0.9496792476939758,0.5284949796655275,0.7086257244137947,0.8932419324163913,0.8904280096744905,0.8024626888609876,0.3861878523697118,0.6236396970743807,0.7667306906718152,0.5671453729390928,0.8141311725183764,-0.237495002462102,0.9448210437802579,0.8496982008627371,0.6147110906537863
BHARTIARTL,0.3399063746894222,0.8796906520451506,0.7309886429590698,-0.2376511303244212,0.8372554546028799,0.9467434916754779,0.15296632570227792,-0.2870069509290447,0.9742128297563388,1.0,0.8191401661857319,0.8094885260760566,0.8679333428711062,0.8434285840262155,0.7524646824709328,0.9466765349647907,0.9720525633802634,0.5122352094265656,0.5468840376126524,0.42150665007607396,0.8857278237854361,0.9072834673650337,0.370422199131396,0.9677906045459004,-0.6012125774876127,0.6466944183702941,0.5155135790514351,0.9197240696595458,0.1218173045998236,0.6086515908655923,0.9792899409526373,0.7831300666185541,0.17459833994495563,0.9511388329456802,0.7980934580529413,0.9536508865860109,0.521985600404785,0.7521464280020331,0.8907809524878592,0.9148180081507877,0.8631808194596111,0.4040857641480376,0.6275646386976806,0.7402960321060518,0.633881706633446,0.8558106614741492,-0.19534912593135367,0.9721649822778154,0.8542273897452725,0.6716672102608661
